Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,11.22,11.25,11.28,13.84,13.85,13.85,13.85,13.85,13.86,13.96,MOLDTKPAC
Reserves,35.11,37.84,41.22,101.82,115.13,141.88,166.89,176.75,183.24,226.54,MOLDTKPAC
Borrowings,53.68,72.51,72.8,18.38,29.29,41.05,80.49,95.69,117.7,108.14,MOLDTKPAC
Other Liabilities,21.6,23.31,40.3,35.27,45.55,39.29,40.97,57.05,47.81,87.67,MOLDTKPAC
Total,121.61,144.91,165.6,169.31,203.82,236.07,302.2,343.34,362.61,436.31,MOLDTKPAC
Net Block,46.85,70.28,72.04,71.54,80.92,90.67,114.52,183.03,202.23,239.15,MOLDTKPAC
Capital Work in Progress,10.82,2.59,2.49,2.78,8.59,9.73,14.87,16.23,11.75,11.72,MOLDTKPAC
Investments,3.16,3.16,3.16,3.16,3.53,21.27,20.34,9.72,7.34,8.65,MOLDTKPAC
Other Assets,60.78,68.88,87.91,91.83,110.78,114.4,152.47,134.36,141.29,176.79,MOLDTKPAC
Total,121.61,144.91,165.6,169.31,203.82,236.07,302.2,343.34,362.61,436.31,MOLDTKPAC
Receivables,28.62,35.03,42.2,44.21,54.78,60.75,82.41,66.38,57.99,90.13,MOLDTKPAC
Inventory,20.25,23.61,28.29,27.65,23.88,36.25,50.48,43.85,50.0,70.82,MOLDTKPAC
Cash & Bank,0.28,0.43,0.61,0.98,0.78,0.85,0.94,0.9,0.97,1.2,MOLDTKPAC
No. of Equity Shares,11216526.0,11254326.0,11277276.0,13840526.0,27691052.0,27691052.0,27691052.0,27691052.0,27726027.0,28321857.0,MOLDTKPAC
New Bonus Shares,,,,,,,,,,,MOLDTKPAC
Face value,10.0,10.0,10.0,10.0,5.0,5.0,5.0,5.0,5.0,5.0,MOLDTKPAC
