Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2013-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,4.29,17.18,17.18,17.18,17.18,18.04,24.53,24.53,24.53,MARINE
Reserves,,16.71,8.41,13.03,32.98,41.59,57.44,99.6,99.65,107.64,MARINE
Borrowings,,10.62,18.87,19.39,28.31,31.2,33.46,42.53,39.41,47.74,MARINE
Other Liabilities,,31.58,35.8,39.12,45.33,67.37,168.07,113.67,130.72,117.72,MARINE
Total,,63.2,80.26,88.72,123.8,157.34,277.01,280.33,294.31,297.63,MARINE
Net Block,,31.96,31.78,31.01,37.4,41.7,26.04,30.86,45.99,39.41,MARINE
Capital Work in Progress,,,,,,,13.62,14.43,,,MARINE
Investments,,0.12,5.67,6.5,7.15,7.48,7.46,12.27,10.52,11.13,MARINE
Other Assets,,31.12,42.81,51.21,79.25,108.16,229.89,222.77,237.8,247.09,MARINE
Total,,63.2,80.26,88.72,123.8,157.34,277.01,280.33,294.31,297.63,MARINE
Receivables,,20.94,25.26,25.46,58.39,77.87,146.26,137.23,121.45,127.05,MARINE
Inventory,,1.12,7.8,9.36,5.43,15.45,26.65,32.37,55.82,58.59,MARINE
Cash & Bank,,0.24,1.49,4.48,4.96,2.37,22.14,14.24,11.58,10.06,MARINE
No. of Equity Shares,,4294500.0,17178000.0,17178000.0,17178200.0,17178200.0,18037050.0,24533050.0,24533050.0,122665250.0,MARINE
New Bonus Shares,,,,,,,,,,,MARINE
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,MARINE
