Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,6.65,6.66,6.66,6.66,11.75,11.75,11.75,13.0,13.0,13.0,COMPINFO
Reserves,46.26,53.63,64.15,73.57,88.44,112.55,130.26,163.32,188.83,208.82,COMPINFO
Borrowings,205.35,220.67,226.56,222.16,279.57,325.47,416.83,491.88,468.92,595.12,COMPINFO
Other Liabilities,180.45,194.43,245.22,240.35,295.51,517.13,561.05,569.33,466.96,312.62,COMPINFO
Total,438.71,475.39,542.59,542.74,675.27,966.9,1119.89,1237.53,1137.71,1129.56,COMPINFO
Net Block,17.51,40.27,41.1,36.99,33.68,43.22,44.06,53.92,50.1,47.12,COMPINFO
Capital Work in Progress,,,,,,,,,,,COMPINFO
Investments,2.43,0.68,0.74,0.97,3.53,3.51,3.57,3.68,1.49,1.71,COMPINFO
Other Assets,418.77,434.44,500.75,504.78,638.06,920.17,1072.26,1179.93,1086.12,1080.73,COMPINFO
Total,438.71,475.39,542.59,542.74,675.27,966.9,1119.89,1237.53,1137.71,1129.56,COMPINFO
Receivables,151.89,180.83,225.94,237.72,265.37,455.71,577.52,644.59,554.26,554.76,COMPINFO
Inventory,197.95,189.96,203.09,200.23,254.3,334.89,292.62,301.39,337.95,319.39,COMPINFO
Cash & Bank,31.94,34.39,39.51,39.26,88.31,101.36,121.96,118.05,79.64,71.56,COMPINFO
No. of Equity Shares,6655000.0,6655000.0,6655000.0,6655000.0,11747999.0,58739995.0,58739995.0,64975806.0,64975806.0,64975806.0,COMPINFO
New Bonus Shares,,,,,,,,,,,COMPINFO
Face value,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,COMPINFO
