Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.07,14.16,14.16,14.16,14.16,14.16,BIGBLOC
Reserves,,,,,0.87,9.25,12.82,13.88,16.84,16.87,BIGBLOC
Borrowings,,,,,27.75,28.79,36.25,37.52,39.13,42.63,BIGBLOC
Other Liabilities,,,,,31.8,14.46,14.73,20.63,15.29,14.83,BIGBLOC
Total,,,,,60.49,66.66,77.96,86.19,85.42,88.49,BIGBLOC
Net Block,,,,,36.0,38.11,38.86,40.27,42.34,42.65,BIGBLOC
Capital Work in Progress,,,,,0.17,0.43,2.28,,,,BIGBLOC
Investments,,,,,,,,0.25,0.25,0.25,BIGBLOC
Other Assets,,,,,24.32,28.12,36.82,45.67,42.83,45.59,BIGBLOC
Total,,,,,60.49,66.66,77.96,86.19,85.42,88.49,BIGBLOC
Receivables,,,,,17.46,19.99,20.79,20.43,19.53,16.59,BIGBLOC
Inventory,,,,,4.29,4.71,6.78,6.55,5.64,7.07,BIGBLOC
Cash & Bank,,,,,0.76,0.93,0.84,0.49,0.29,0.22,BIGBLOC
No. of Equity Shares,,,,,70000.0,14157575.0,14157575.0,14157575.0,14157575.0,14157575.0,BIGBLOC
New Bonus Shares,,,,,,,,,,,BIGBLOC
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,BIGBLOC
