Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,92.95,106.06,119.37,122.99,128.96,82.06,16.28,20.36,24.69,12.93,NOIDATOLL
Raw Material Cost,,,,,,,,,,,NOIDATOLL
Change in Inventory,,,,,,,,,,,NOIDATOLL
Power and Fuel,1.19,1.28,1.6,1.74,1.48,1.16,1.72,0.92,0.56,0.67,NOIDATOLL
Other Mfr. Exp,11.42,17.44,20.64,22.34,17.67,18.85,12.66,11.07,7.49,4.9,NOIDATOLL
Employee Cost,4.09,2.96,3.24,3.68,3.94,3.52,1.53,1.09,0.92,0.94,NOIDATOLL
Selling and admin,4.86,10.61,5.77,6.7,11.34,12.99,9.5,12.34,9.46,5.63,NOIDATOLL
Other Expenses,3.61,0.16,,0.78,1.57,1.15,0.13,0.02,0.01,0.04,NOIDATOLL
Other Income,6.2,6.97,5.0,7.52,2.82,2.18,1.24,0.37,4.68,0.66,NOIDATOLL
Depreciation,4.82,1.83,1.95,2.17,32.26,37.88,42.22,43.24,41.96,41.85,NOIDATOLL
Interest,15.68,12.84,8.94,8.11,2.65,5.87,7.0,8.03,0.02,0.01,NOIDATOLL
Profit before tax,53.48,65.91,82.23,84.99,60.87,2.82,-57.24,-55.98,-31.05,-40.45,NOIDATOLL
Tax,8.16,23.8,27.47,4.17,-36.67,1.2,0.53,-20.06,,,NOIDATOLL
Net profit,45.32,42.11,54.75,80.82,97.55,1.63,-57.76,-35.93,-31.05,-40.46,NOIDATOLL
