Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,166.4,166.4,178.21,22.54,22.54,22.0,22.0,TECHNOE
Reserves,,,,413.63,408.07,483.94,1200.45,1381.83,1450.2,1588.64,TECHNOE
Borrowings,,,,389.21,340.66,272.75,66.75,44.48,,40.0,TECHNOE
Other Liabilities,,,,34.31,48.29,32.4,621.07,547.03,583.17,546.56,TECHNOE
Total,,,,1003.55,963.42,967.3,1910.81,1995.88,2055.37,2197.2,TECHNOE
Net Block,,,,811.59,616.03,615.97,584.62,545.11,505.98,464.92,TECHNOE
Capital Work in Progress,,,,,,,,,,,TECHNOE
Investments,,,,76.77,79.38,209.92,441.55,560.93,668.23,710.12,TECHNOE
Other Assets,,,,115.19,268.01,141.41,884.64,889.84,881.16,1022.16,TECHNOE
Total,,,,1003.55,963.42,967.3,1910.81,1995.88,2055.37,2197.2,TECHNOE
Receivables,,,,35.06,41.14,75.73,757.83,544.43,574.16,530.23,TECHNOE
Inventory,,,,,,,7.83,18.92,6.5,6.24,TECHNOE
Cash & Bank,,,,5.08,63.03,9.48,41.75,48.38,42.75,80.74,TECHNOE
No. of Equity Shares,,,,832002000.0,832002000.0,891056331.0,112682400.0,112682400.0,110000000.0,110000000.0,TECHNOE
New Bonus Shares,,,,,,,,,,,TECHNOE
Face value,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,TECHNOE
