Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2020-12-31 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,Company_Name
Sales,,,,,,,,64.77,98.3,102.0,ANANDRATHI
Expenses,,,,,,,,44.29,55.7,58.32,ANANDRATHI
Other Income,,,,,,,,0.6,1.34,2.31,ANANDRATHI
Depreciation,,,,,,,,2.98,2.83,3.01,ANANDRATHI
Interest,,,,,,,,0.93,0.38,0.32,ANANDRATHI
Profit before tax,,,,,,,,17.17,40.73,42.66,ANANDRATHI
Tax,,,,,,,,4.51,10.57,10.79,ANANDRATHI
Net profit,,,,,,,,12.66,30.16,31.87,ANANDRATHI
Operating Profit,,,,,,,,20.48,42.6,43.68,ANANDRATHI
