Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,59.82,59.82,68.0,71.14,71.45,71.54,71.67,MAHLOG
Reserves,,,,205.94,243.95,280.82,347.76,427.39,473.77,493.56,MAHLOG
Borrowings,,,,,,,,,164.85,239.73,MAHLOG
Other Liabilities,,,,236.69,249.55,420.2,493.37,622.21,619.79,773.36,MAHLOG
Total,,,,502.45,553.32,769.02,912.27,1121.05,1329.95,1578.32,MAHLOG
Net Block,,,,20.1,21.17,27.95,31.08,43.62,209.9,345.79,MAHLOG
Capital Work in Progress,,,,0.02,0.43,0.69,0.55,2.59,15.04,3.06,MAHLOG
Investments,,,,120.55,78.31,69.9,63.01,98.93,21.41,76.49,MAHLOG
Other Assets,,,,361.78,453.41,670.48,817.63,975.91,1083.6,1152.98,MAHLOG
Total,,,,502.45,553.32,769.02,912.27,1121.05,1329.95,1578.32,MAHLOG
Receivables,,,,187.15,234.85,400.26,487.68,481.22,475.52,408.25,MAHLOG
Inventory,,,,,,,,,,,MAHLOG
Cash & Bank,,,,97.44,82.58,49.32,65.36,69.84,99.28,197.15,MAHLOG
No. of Equity Shares,,,,61277860.0,61277860.0,69455044.0,71141924.0,71447684.0,71537256.0,71670340.0,MAHLOG
New Bonus Shares,,,,,,,,,,,MAHLOG
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,MAHLOG
