Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,0.49,0.61,2.6,0.55,,,0.01,,1.13,0.02,LCCINFOTEC
Expenses,0.46,0.58,2.58,0.55,0.07,0.1,0.31,1.01,1.27,0.24,LCCINFOTEC
Other Income,0.01,0.01,0.01,0.01,0.01,0.05,0.01,0.02,0.01,0.01,LCCINFOTEC
Depreciation,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,LCCINFOTEC
Interest,0.01,0.02,0.01,0.01,,,0.01,0.01,0.01,0.01,LCCINFOTEC
Profit before tax,0.01,,,-0.02,-0.08,-0.07,-0.32,-1.02,-0.15,-0.23,LCCINFOTEC
Tax,,,,,,,,,,,LCCINFOTEC
Net profit,,-0.01,,-0.02,-0.08,-0.07,-0.32,-1.02,-0.16,-0.23,LCCINFOTEC
Operating Profit,0.03,0.03,0.02,,-0.07,-0.1,-0.3,-1.01,-0.14,-0.22,LCCINFOTEC
