Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,17.13,17.13,17.13,17.13,17.13,17.13,17.18,17.18,17.18,17.18,AMBICAAGAR
Reserves,14.82,16.16,17.36,18.81,19.0,20.14,68.04,75.74,80.01,82.86,AMBICAAGAR
Borrowings,56.32,64.75,63.83,57.58,57.61,57.71,76.52,66.88,65.87,69.14,AMBICAAGAR
Other Liabilities,17.92,21.7,22.83,16.07,17.44,19.04,39.95,34.37,41.27,42.33,AMBICAAGAR
Total,106.19,119.74,121.15,109.59,111.18,114.02,201.69,194.17,204.33,211.51,AMBICAAGAR
Net Block,30.68,43.93,41.95,39.45,38.09,45.25,131.83,129.33,126.4,124.56,AMBICAAGAR
Capital Work in Progress,14.53,12.09,12.09,14.03,9.75,,,,,,AMBICAAGAR
Investments,,,,,0.01,5.27,5.68,6.12,6.6,7.11,AMBICAAGAR
Other Assets,60.98,63.72,67.11,56.11,63.33,63.5,64.18,58.72,71.33,79.84,AMBICAAGAR
Total,106.19,119.74,121.15,109.59,111.18,114.02,201.69,194.17,204.33,211.51,AMBICAAGAR
Receivables,5.81,6.31,7.32,8.55,7.45,8.48,12.44,14.24,21.03,8.27,AMBICAAGAR
Inventory,15.15,14.54,14.44,21.57,21.41,19.18,1.94,3.3,13.56,13.59,AMBICAAGAR
Cash & Bank,0.5,0.8,0.73,1.46,0.46,1.06,6.99,2.79,3.36,2.55,AMBICAAGAR
No. of Equity Shares,17177400.0,17177400.0,17177400.0,17177400.0,17177400.0,17177400.0,17177400.0,17177400.0,17177400.0,17177400.0,AMBICAAGAR
New Bonus Shares,,,,,,,,,,,AMBICAAGAR
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,AMBICAAGAR
