Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,1041.26,1256.93,1290.71,1368.66,1684.17,2036.99,1640.03,1585.31,SANDHAR
Raw Material Cost,,,695.28,844.05,830.8,882.67,1071.48,1304.25,1031.38,1019.11,SANDHAR
Change in Inventory,,,-6.14,3.95,1.68,4.91,3.31,3.32,-4.15,0.55,SANDHAR
Power and Fuel,,,31.8,36.51,37.53,39.9,46.85,62.39,51.8,47.93,SANDHAR
Other Mfr. Exp,,,67.22,81.32,92.37,92.72,117.95,134.15,108.94,105.29,SANDHAR
Employee Cost,,,107.15,131.64,151.78,173.62,206.89,249.55,227.52,212.98,SANDHAR
Selling and admin,,,21.65,29.68,47.37,41.04,47.31,54.35,42.47,38.11,SANDHAR
Other Expenses,,,9.79,12.32,3.38,17.98,10.28,14.28,14.73,8.69,SANDHAR
Other Income,,,2.18,0.54,-1.88,4.93,4.21,4.79,10.12,9.39,SANDHAR
Depreciation,,,30.02,42.74,46.58,47.66,55.13,66.7,75.6,68.57,SANDHAR
Interest,,,33.63,35.29,37.34,35.57,38.12,17.46,12.63,9.09,SANDHAR
Profit before tax,,,40.76,47.87,43.36,47.34,97.68,141.97,80.93,85.48,SANDHAR
Tax,,,7.0,13.03,11.1,8.84,29.95,46.64,20.0,20.25,SANDHAR
Net profit,,,33.76,34.84,32.27,38.49,67.73,95.33,60.92,65.23,SANDHAR
