Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,12.42,15.6,9.05,9.74,10.24,9.51,AURUM
Raw Material Cost,,,,,,,,,,,AURUM
Change in Inventory,,,,,,,,,,,AURUM
Power and Fuel,,,,,0.25,0.2,0.01,,0.12,0.68,AURUM
Other Mfr. Exp,,,,,0.69,7.69,0.54,2.51,0.57,0.41,AURUM
Employee Cost,,,,,11.48,13.83,4.19,5.44,7.11,14.14,AURUM
Selling and admin,,,,0.03,4.23,4.16,2.05,4.97,3.25,4.16,AURUM
Other Expenses,,,,,0.82,0.65,0.3,1.93,0.15,0.24,AURUM
Other Income,,,,,13.63,13.46,19.95,23.59,26.84,3280.56,AURUM
Depreciation,,,,,0.23,0.81,0.82,0.69,0.62,0.66,AURUM
Interest,,,,,,0.84,0.28,0.28,0.34,0.06,AURUM
Profit before tax,,,,-0.03,8.35,0.88,20.81,17.51,24.92,3269.72,AURUM
Tax,,,,,2.13,-0.4,6.47,5.34,0.95,732.78,AURUM
Net profit,,,,-0.03,6.21,1.28,14.34,12.17,23.97,2536.94,AURUM
