Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,442.53,425.41,372.83,451.97,411.01,391.87,421.09,633.6,508.79,575.0,STAR
Expenses,394.91,361.82,337.51,386.92,381.14,375.86,367.67,545.58,500.61,528.04,STAR
Other Income,23.08,32.2,15.77,25.24,13.31,36.15,16.23,23.31,8.75,22.41,STAR
Depreciation,23.24,22.69,23.23,23.83,24.49,24.97,25.15,24.73,26.64,27.09,STAR
Interest,17.12,14.88,16.4,18.44,15.83,14.47,17.13,17.91,18.09,18.0,STAR
Profit before tax,30.34,58.22,11.46,48.02,2.86,12.72,27.37,68.69,-27.8,24.28,STAR
Tax,5.66,11.21,-0.15,10.34,1.98,3.92,6.88,20.62,-6.56,5.76,STAR
Net profit,24.68,47.0,11.61,37.67,0.89,8.79,20.49,48.08,-21.23,18.52,STAR
Operating Profit,47.62,63.59,35.32,65.05,29.87,16.01,53.42,88.02,8.18,46.96,STAR
