Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,39.14,39.14,39.14,40.06,40.08,43.88,43.88,FSC
Reserves,,,,178.64,208.1,253.67,494.75,560.27,699.28,514.06,FSC
Borrowings,,,,63.05,80.38,80.71,32.96,217.83,915.93,811.86,FSC
Other Liabilities,,,,106.53,156.09,135.99,256.66,365.74,390.3,415.98,FSC
Total,,,,387.36,483.71,509.51,824.43,1183.92,2049.39,1785.78,FSC
Net Block,,,,129.74,138.42,129.74,317.33,412.24,834.05,697.96,FSC
Capital Work in Progress,,,,20.52,1.83,69.81,2.55,55.17,5.74,,FSC
Investments,,,,0.01,0.01,0.01,63.13,63.13,,,FSC
Other Assets,,,,237.09,343.45,309.95,441.42,653.38,1209.6,1087.82,FSC
Total,,,,387.36,483.71,509.51,824.43,1183.92,2049.39,1785.78,FSC
Receivables,,,,181.91,221.12,219.77,259.09,349.82,815.27,735.88,FSC
Inventory,,,,,,,,5.53,3.52,2.37,FSC
Cash & Bank,,,,2.5,1.95,47.01,79.68,118.69,3.02,2.8,FSC
No. of Equity Shares,,,,39138283.0,39138283.0,39138283.0,40056238.0,40081113.0,43883598.0,43883598.0,FSC
New Bonus Shares,,,,,,,,,,,FSC
Face value,,,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,FSC
