Report Date,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,388.76,440.37,437.4,608.35,491.06,529.49,439.36,564.34,449.69,438.09,EIDPARRY
Expenses,437.7,465.49,429.81,447.39,502.55,520.59,423.94,406.64,466.06,439.9,EIDPARRY
Other Income,18.23,76.42,19.28,26.76,379.99,217.09,381.8,121.69,12.04,117.05,EIDPARRY
Depreciation,28.97,29.67,30.61,30.31,30.56,30.83,30.94,27.66,28.12,29.81,EIDPARRY
Interest,32.46,33.52,30.65,39.03,32.65,22.65,20.02,17.4,11.48,12.98,EIDPARRY
Profit before tax,-92.14,-11.89,-34.39,118.38,305.29,172.51,346.26,234.33,-43.93,72.45,EIDPARRY
Tax,-39.02,-17.98,-14.41,49.54,79.64,41.08,7.08,65.73,-10.83,-0.74,EIDPARRY
Net profit,-53.12,6.09,-19.98,68.84,225.65,131.43,339.18,168.6,-33.1,73.19,EIDPARRY
Operating Profit,-48.94,-25.12,7.59,160.96,-11.49,8.9,15.42,157.7,-16.37,-1.81,EIDPARRY
