Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,152.55,164.01,156.39,139.69,136.47,136.86,118.74,80.8,33.58,14.79,TGBHOTELS
Raw Material Cost,38.77,38.54,37.03,33.52,35.67,39.63,37.43,29.08,9.23,5.09,TGBHOTELS
Change in Inventory,,,,,,,,,,,TGBHOTELS
Power and Fuel,10.41,9.23,9.27,8.8,11.4,9.18,9.46,5.76,0.98,0.85,TGBHOTELS
Other Mfr. Exp,10.94,12.53,11.29,10.96,9.87,10.96,11.35,9.1,2.43,1.12,TGBHOTELS
Employee Cost,20.15,20.29,19.74,20.33,20.71,22.46,29.06,17.91,6.2,2.9,TGBHOTELS
Selling and admin,28.04,31.63,29.2,26.25,22.25,21.53,34.34,17.97,6.66,4.74,TGBHOTELS
Other Expenses,11.91,12.98,12.19,11.2,15.03,8.59,19.67,43.19,23.63,2.83,TGBHOTELS
Other Income,1.39,2.75,1.95,1.97,2.25,2.8,18.18,0.39,20.31,-2.28,TGBHOTELS
Depreciation,12.78,12.93,12.84,21.11,20.51,19.46,4.94,2.75,3.06,2.0,TGBHOTELS
Interest,15.56,21.04,21.29,21.42,18.72,15.75,3.42,1.54,1.28,1.34,TGBHOTELS
Profit before tax,5.38,7.59,5.49,-11.93,-15.44,-7.9,-12.75,-46.11,0.42,-8.36,TGBHOTELS
Tax,5.06,4.63,3.64,-0.73,-0.2,-1.28,-13.29,8.14,-0.44,-0.12,TGBHOTELS
Net profit,0.32,2.96,1.85,-11.21,-15.24,-6.62,0.54,-54.25,0.86,-8.25,TGBHOTELS
