Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,56.86,54.7,63.73,63.87,67.69,105.06,140.23,81.98,112.88,MACPOWER
Raw Material Cost,,,,46.56,44.83,53.69,66.69,100.15,55.94,75.47,MACPOWER
Change in Inventory,,,,-0.88,-2.3,4.03,-4.68,5.74,0.79,-2.47,MACPOWER
Power and Fuel,,,,,,0.44,0.61,0.61,0.51,0.89,MACPOWER
Other Mfr. Exp,,,,,,3.34,6.28,9.29,5.47,7.2,MACPOWER
Employee Cost,,,,6.59,7.19,8.61,11.44,12.4,11.39,11.71,MACPOWER
Selling and admin,,,,,,5.12,4.87,6.49,3.95,4.16,MACPOWER
Other Expenses,,54.51,52.76,8.1,7.4,-1.09,-1.02,0.42,0.7,1.8,MACPOWER
Other Income,,,,0.53,0.29,0.42,0.53,2.92,0.55,0.35,MACPOWER
Depreciation,,0.67,0.64,1.27,0.87,0.66,1.02,1.18,1.08,2.61,MACPOWER
Interest,,0.19,0.27,0.63,0.83,0.4,0.27,0.27,0.37,0.17,MACPOWER
Profit before tax,,1.49,1.03,0.23,0.74,0.97,10.75,18.08,3.91,6.75,MACPOWER
Tax,,0.54,0.3,-0.06,0.26,0.19,3.71,5.44,1.18,0.72,MACPOWER
Net profit,,0.95,0.73,0.29,0.49,0.78,7.04,12.64,2.73,6.03,MACPOWER
