Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,541.46,649.82,694.53,627.36,562.38,450.21,481.11,523.3,481.11,499.75,POWERGRID
Raw Material Cost,,,,,,,,,,,POWERGRID
Change in Inventory,,,,,,,,,,,POWERGRID
Power and Fuel,0.09,470.79,475.04,411.13,0.02,11.9,16.77,9.88,,10.14,POWERGRID
Other Mfr. Exp,456.55,8.1,8.63,7.25,394.79,290.22,305.34,370.25,356.74,336.54,POWERGRID
Employee Cost,35.54,47.35,42.51,41.69,39.02,39.26,53.16,49.49,49.41,49.72,POWERGRID
Selling and admin,5.13,46.62,63.95,62.08,55.82,4.74,7.23,9.41,12.66,12.76,POWERGRID
Other Expenses,11.38,13.94,13.14,10.66,-12.6,8.91,9.17,10.55,10.47,21.21,POWERGRID
Other Income,2.36,9.37,2.89,1.7,17.92,42.31,39.59,44.69,51.33,18.62,POWERGRID
Depreciation,6.32,10.96,14.57,15.06,17.97,17.85,16.8,16.12,29.1,29.69,POWERGRID
Interest,11.42,18.96,34.71,44.58,41.07,58.4,77.6,74.43,45.62,37.7,POWERGRID
Profit before tax,17.39,42.47,44.87,36.61,44.21,61.24,34.63,27.86,28.44,20.61,POWERGRID
Tax,5.58,14.88,15.64,12.43,11.86,22.13,13.29,9.16,11.75,-6.06,POWERGRID
Net profit,11.81,27.59,29.24,24.18,32.35,39.12,21.34,18.7,16.69,26.66,POWERGRID
