Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,Company_Name
Sales,,,,61.6,48.74,73.29,55.24,69.16,54.03,91.3,MTARTECH
Expenses,,,,47.08,37.3,49.21,37.72,39.1,39.55,61.86,MTARTECH
Other Income,,,,3.23,0.41,0.17,0.14,0.59,2.59,2.57,MTARTECH
Depreciation,,,,2.95,2.97,3.1,3.26,3.23,3.34,3.52,MTARTECH
Interest,,,,2.03,1.48,1.39,1.97,2.17,1.18,1.39,MTARTECH
Profit before tax,,,,12.77,7.4,19.76,12.43,25.25,12.55,27.1,MTARTECH
Tax,,,,3.9,2.08,5.87,3.58,7.23,3.84,8.05,MTARTECH
Net profit,,,,8.87,5.32,13.89,8.86,18.01,8.71,19.06,MTARTECH
Operating Profit,,,,14.52,11.44,24.08,17.52,30.06,14.48,29.44,MTARTECH
