Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,76.15,80.76,55.96,39.58,38.54,32.46,22.79,11.28,4.0,6.62,MANGTIMBER
Raw Material Cost,34.2,36.08,24.06,22.4,18.23,16.94,15.77,4.69,4.5,2.9,MANGTIMBER
Change in Inventory,8.12,5.67,-3.69,-2.33,-10.33,-0.42,7.35,-4.89,3.46,-4.45,MANGTIMBER
Power and Fuel,14.87,16.41,10.71,8.98,8.05,8.27,8.62,3.44,3.86,3.09,MANGTIMBER
Other Mfr. Exp,4.08,3.9,3.0,2.08,1.79,2.07,1.49,0.83,0.79,1.24,MANGTIMBER
Employee Cost,12.0,11.95,11.97,10.35,9.02,8.72,6.15,5.77,5.53,5.69,MANGTIMBER
Selling and admin,14.22,15.88,10.71,6.92,6.23,4.87,2.36,2.42,1.36,1.95,MANGTIMBER
Other Expenses,2.33,1.91,1.64,1.43,1.97,2.28,1.06,0.73,0.82,0.72,MANGTIMBER
Other Income,0.38,0.52,3.91,4.33,1.58,0.77,2.2,2.13,0.78,0.15,MANGTIMBER
Depreciation,1.67,1.71,1.85,1.61,1.38,1.44,1.55,1.49,1.47,1.45,MANGTIMBER
Interest,5.78,4.46,2.8,3.58,3.48,7.23,8.87,9.84,11.84,12.61,MANGTIMBER
Profit before tax,-4.5,-5.35,-10.56,-15.77,-20.36,-19.01,-13.53,-20.69,-21.93,-27.33,MANGTIMBER
Tax,-1.01,-1.81,-2.94,-5.69,-7.7,-5.29,-4.2,-6.39,-7.2,-8.53,MANGTIMBER
Net profit,-3.49,-3.55,-7.62,-10.08,-12.65,-13.72,-9.34,-14.3,-14.73,-18.8,MANGTIMBER
