Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.52,10.52,10.52,10.52,10.52,10.37,10.38,10.39,10.39,10.39,SONATSOFTW
Reserves,288.18,299.2,308.8,346.78,349.84,457.79,481.05,522.76,362.89,519.13,SONATSOFTW
Borrowings,,16.78,5.69,5.32,96.51,,,,,,SONATSOFTW
Other Liabilities,47.49,42.07,82.3,115.32,58.01,83.76,117.7,123.77,279.07,253.02,SONATSOFTW
Total,346.19,368.57,407.31,477.94,514.88,551.92,609.13,656.92,652.35,782.54,SONATSOFTW
Net Block,29.0,20.64,14.74,12.47,18.41,18.97,20.39,19.93,102.9,84.05,SONATSOFTW
Capital Work in Progress,0.52,,0.02,0.19,0.28,0.41,0.27,0.03,,0.11,SONATSOFTW
Investments,112.83,106.03,108.66,107.34,96.02,135.54,199.12,149.33,55.88,97.92,SONATSOFTW
Other Assets,203.84,241.9,283.89,357.94,400.17,397.0,389.35,487.63,493.57,600.46,SONATSOFTW
Total,346.19,368.57,407.31,477.94,514.88,551.92,609.13,656.92,652.35,782.54,SONATSOFTW
Receivables,62.45,58.62,64.19,102.08,124.52,160.08,184.83,288.6,230.09,191.58,SONATSOFTW
Inventory,,,,,,,,,,,SONATSOFTW
Cash & Bank,44.31,79.15,137.1,162.33,185.51,136.97,125.66,86.1,156.18,280.87,SONATSOFTW
No. of Equity Shares,105159306.0,105159306.0,105159306.0,105159306.0,105159306.0,103674431.0,103779431.0,103859431.0,103859431.0,103859431.0,SONATSOFTW
New Bonus Shares,,,,,,,,,,,SONATSOFTW
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SONATSOFTW
