Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,20.67,32.44,43.18,46.84,42.0,55.18,52.12,55.83,66.78,68.24,INTENTECH
Raw Material Cost,,,,,,,,,,,INTENTECH
Change in Inventory,,,,,,,,,,,INTENTECH
Power and Fuel,0.26,0.3,0.41,0.41,0.49,0.56,0.59,0.49,0.48,0.35,INTENTECH
Other Mfr. Exp,0.19,1.58,0.8,1.8,0.63,0.65,1.12,6.99,14.91,10.22,INTENTECH
Employee Cost,12.11,16.92,22.01,26.78,30.41,31.8,28.14,25.55,33.04,36.53,INTENTECH
Selling and admin,4.5,7.63,9.18,10.81,10.83,14.03,8.35,6.92,7.66,7.27,INTENTECH
Other Expenses,0.98,1.6,0.59,0.18,0.32,1.61,2.07,4.68,0.13,0.46,INTENTECH
Other Income,0.43,2.25,3.6,2.64,2.01,1.05,1.22,1.26,1.62,1.69,INTENTECH
Depreciation,0.88,0.88,1.26,1.22,1.56,3.05,4.17,1.88,1.18,0.59,INTENTECH
Interest,0.02,0.06,0.09,0.26,0.79,0.89,0.9,0.81,0.63,0.58,INTENTECH
Profit before tax,2.16,5.72,12.44,8.02,-1.02,3.64,8.0,9.77,10.37,13.93,INTENTECH
Tax,0.12,0.02,1.12,1.17,-0.09,0.19,3.54,3.18,2.57,3.42,INTENTECH
Net profit,2.04,5.7,11.32,6.84,-0.93,3.44,4.46,6.6,7.8,10.51,INTENTECH
