date,open,high,low,close,volume
2021-03-05 00:00:00+05:30,900,945,796.55,812.6,16523452
2021-03-08 00:00:00+05:30,826,836.95,736,749.5,4061558
2021-03-09 00:00:00+05:30,756.05,798,731.2,788,2938791
2021-03-10 00:00:00+05:30,789,801.95,770.25,789.75,1298178
2021-03-12 00:00:00+05:30,800,804,758.1,761.75,652564
2021-03-15 00:00:00+05:30,760.9,763.65,705.5,707.5,868864
2021-03-16 00:00:00+05:30,714.8,724.8,695.35,699.85,525679
2021-03-17 00:00:00+05:30,694,697.2,653.05,660.05,706047
2021-03-18 00:00:00+05:30,662.8,672,627.05,634.85,791769
2021-03-19 00:00:00+05:30,629.8,649.9,627.5,639.4,776461
2021-03-22 00:00:00+05:30,640,668.65,633.05,642.05,474231
2021-03-23 00:00:00+05:30,646.05,660.95,640,642.5,370317
2021-03-24 00:00:00+05:30,635,647,631.65,633.35,369566
2021-03-25 00:00:00+05:30,630.2,640.9,627,628.95,504307
2021-03-26 00:00:00+05:30,638,641,628.2,630.35,293864
2021-03-30 00:00:00+05:30,637,649,627.2,630.45,359233
2021-03-31 00:00:00+05:30,631.75,645,630,631.2,425879
2021-04-01 00:00:00+05:30,635.8,647.2,631,632.15,387094
2021-04-05 00:00:00+05:30,632,636.2,620.1,624.6,333226
2021-04-06 00:00:00+05:30,624,624,602.1,604.8,741336
2021-04-07 00:00:00+05:30,606,689,606,663.25,1546227
2021-04-08 00:00:00+05:30,664.65,683.25,661,665.35,474468
2021-04-09 00:00:00+05:30,667,672.25,654,658,213971
2021-04-12 00:00:00+05:30,640,657.4,627.1,637.75,416594
2021-04-13 00:00:00+05:30,641,662.4,641,646.4,334959
2021-04-15 00:00:00+05:30,645.95,647.9,632.65,639.3,178700
2021-04-16 00:00:00+05:30,642.5,657.5,638.15,645.85,223288
2021-04-19 00:00:00+05:30,627.1,636.95,620.1,625,349838
2021-04-20 00:00:00+05:30,642,645,621.25,623.55,214109
2021-04-22 00:00:00+05:30,625,703,620.05,668.5,1226176
2021-04-23 00:00:00+05:30,672,694,653.2,659.65,857620
2021-04-26 00:00:00+05:30,668,682,661.95,669.65,306250
2021-04-27 00:00:00+05:30,670,692,670,682.7,381872
2021-04-28 00:00:00+05:30,685.5,728,685,711,1100849
2021-04-29 00:00:00+05:30,716,722.7,692,700.35,413373
2021-04-30 00:00:00+05:30,696.5,727.7,691.85,715.1,727618
2021-05-03 00:00:00+05:30,710.5,742,706.25,731.05,612106
2021-05-04 00:00:00+05:30,736,738,706.25,710,314389
2021-05-05 00:00:00+05:30,716.4,724,702.55,718.5,343350
2021-05-06 00:00:00+05:30,721.05,734,705,706.9,238336
2021-05-07 00:00:00+05:30,713.75,729,703,708.15,551134
2021-05-10 00:00:00+05:30,714.9,725.4,708,709.75,263611
2021-05-11 00:00:00+05:30,704,722,702.8,713.9,272085
2021-05-12 00:00:00+05:30,716,719.8,703,706.75,272609
2021-05-14 00:00:00+05:30,711,744,705,732.8,760162
2021-05-17 00:00:00+05:30,740,769.8,737.1,756.65,938771
2021-05-18 00:00:00+05:30,753.9,765,736.55,740.45,338631
2021-05-19 00:00:00+05:30,740,767,736.65,750.65,361769
2021-05-20 00:00:00+05:30,752,758,724,727.3,263407
2021-05-21 00:00:00+05:30,730,738.1,716.35,724.2,420470
2021-05-24 00:00:00+05:30,729,737.2,722.25,726.9,309099
2021-05-25 00:00:00+05:30,727,744.7,727,735.85,319997
2021-05-26 00:00:00+05:30,740,740,730.1,733.2,175280
2021-05-27 00:00:00+05:30,733.05,736.75,719.2,723.5,159136
2021-05-28 00:00:00+05:30,721.6,733.4,713,728.05,396129
2021-05-31 00:00:00+05:30,735,744,727,729.3,294819
2021-06-01 00:00:00+05:30,731,742.7,721.9,730.6,207149
2021-06-02 00:00:00+05:30,731.4,777.9,728.55,772.9,1051516
2021-06-03 00:00:00+05:30,782,789.8,752.1,758,601984
2021-06-04 00:00:00+05:30,760,775.5,753.4,767.15,331758
2021-06-07 00:00:00+05:30,774,787.85,765.1,780.7,531057
2021-06-08 00:00:00+05:30,784.95,791.95,766,771.65,328595
2021-06-09 00:00:00+05:30,777.9,799,765.1,772.25,642584
2021-06-10 00:00:00+05:30,773,814.5,773,808.15,991712
2021-06-11 00:00:00+05:30,816,822.9,760,768.95,1731440
2021-06-14 00:00:00+05:30,775.15,789.8,751.45,779.3,583688
2021-06-15 00:00:00+05:30,784.9,789,765.5,769.85,374714
2021-06-16 00:00:00+05:30,772,773.75,750,752.35,294235
2021-06-17 00:00:00+05:30,748,758.8,730,731.8,233230
2021-06-18 00:00:00+05:30,735,740,687.65,712.9,344315
2021-06-21 00:00:00+05:30,703.45,723.55,696.95,713.65,186725
2021-06-22 00:00:00+05:30,720.15,729,706.65,708.5,199720
2021-06-23 00:00:00+05:30,711.5,714.5,698,699.9,139446
2021-06-24 00:00:00+05:30,702.25,705,686.2,688,148841
2021-06-25 00:00:00+05:30,695.5,709,687,702.65,147268
2021-06-28 00:00:00+05:30,704.95,709.8,687.05,690.15,173423
2021-06-29 00:00:00+05:30,690.6,697.35,689.35,691.8,77061
2021-06-30 00:00:00+05:30,695.85,703.7,692,694.6,169457
2021-07-01 00:00:00+05:30,694.6,695.3,686.2,689.1,99053
2021-07-02 00:00:00+05:30,692.85,707.9,690,702.95,190952
2021-07-05 00:00:00+05:30,709.7,753.85,706.75,740.85,843829
2021-07-06 00:00:00+05:30,743,751.95,720.05,725.3,237199
2021-07-07 00:00:00+05:30,728,744.9,716.6,738.7,244310
2021-07-08 00:00:00+05:30,738.7,738.7,718,722.95,124493
2021-07-09 00:00:00+05:30,723,724.8,713.5,716.4,85642
2021-07-12 00:00:00+05:30,716.5,736,716.5,727.9,124976
2021-07-13 00:00:00+05:30,730,732.5,718,720.8,79689
2021-07-14 00:00:00+05:30,723.65,730.5,713,716.3,85768
2021-07-15 00:00:00+05:30,719,725,713.15,716.1,78192
2021-07-16 00:00:00+05:30,719,739.9,717,724.3,161327
2021-07-19 00:00:00+05:30,724,775,719,769,826093
2021-07-20 00:00:00+05:30,771,805,756,799.1,1503855
2021-07-22 00:00:00+05:30,805,810.45,785,789.95,537323
2021-07-23 00:00:00+05:30,797,828,797,807.45,867440
2021-07-26 00:00:00+05:30,813,839.1,810.55,824.6,731744
2021-07-27 00:00:00+05:30,829.05,849,816,829.55,680000
2021-07-28 00:00:00+05:30,832.55,836.1,797.15,813,314392
2021-07-29 00:00:00+05:30,818.7,830,811,821.15,240295
2021-07-30 00:00:00+05:30,823.4,823.4,807.05,809.9,163418
2021-08-02 00:00:00+05:30,816,823.6,800.55,802.7,149935
2021-08-03 00:00:00+05:30,803,823.3,803,806.5,191619
2021-08-04 00:00:00+05:30,809.8,847.8,807.35,811.25,624617
2021-08-05 00:00:00+05:30,815.55,819.8,786.2,811,301958
2021-08-06 00:00:00+05:30,811.1,835,810.05,815.25,306362
2021-08-09 00:00:00+05:30,818.9,832,810,815.55,265035
2021-08-10 00:00:00+05:30,818,829.05,727.15,749,725012
2021-08-11 00:00:00+05:30,775,808.75,752,796.55,817537
2021-08-12 00:00:00+05:30,800,853.3,793,844.95,1270491
2021-08-13 00:00:00+05:30,855,866.85,833,837.6,681782
2021-08-16 00:00:00+05:30,838,840.05,814.6,829.2,332308
2021-08-17 00:00:00+05:30,832,837,801,803.4,203320
2021-08-18 00:00:00+05:30,805.1,815,787,797.75,203320
2021-08-20 00:00:00+05:30,782,796.6,771.05,775.5,207445
2021-08-23 00:00:00+05:30,782.55,798.75,750,764.45,315559
2021-08-24 00:00:00+05:30,772,804.5,767.85,797.7,191504
2021-08-25 00:00:00+05:30,803,809.8,781.1,783.85,133227
2021-08-26 00:00:00+05:30,786.8,797,772,786.25,106363
2021-08-27 00:00:00+05:30,790,829.7,789.95,819.3,520913
2021-08-30 00:00:00+05:30,830,834,817,827.75,232523
2021-08-31 00:00:00+05:30,828.4,835.6,807.25,810.4,197877
2021-09-01 00:00:00+05:30,812.95,816,792.05,796.5,161907
2021-09-02 00:00:00+05:30,796.9,821.8,796.85,801.45,226061
2021-09-03 00:00:00+05:30,805.3,809.25,788.7,793.1,169344
2021-09-06 00:00:00+05:30,795,801.5,779.5,781.1,158196
2021-09-07 00:00:00+05:30,784.7,791,770.45,772.85,179946
2021-09-08 00:00:00+05:30,775,786.85,775,777.35,93014
2021-09-09 00:00:00+05:30,777,791,773.65,776.15,133057
2021-09-13 00:00:00+05:30,776.5,785,765.85,769.3,131646
2021-09-14 00:00:00+05:30,775.35,781.9,769.45,776.65,116349
2021-09-15 00:00:00+05:30,776.65,804,772.9,797.7,290875
2021-09-16 00:00:00+05:30,804,811,795,796.65,168790
2021-09-17 00:00:00+05:30,797.05,800.95,771,780.15,257715
2021-09-20 00:00:00+05:30,770,780.95,743.55,752.85,351998
2021-09-21 00:00:00+05:30,752,764.5,739.25,761,115113
2021-09-22 00:00:00+05:30,772.4,824,772.4,810.8,985093
2021-09-23 00:00:00+05:30,819,835.6,806.2,808.4,532783
2021-09-24 00:00:00+05:30,812.8,816.7,784,787.75,197642
2021-09-27 00:00:00+05:30,794,804.9,776,799.95,194659
2021-09-28 00:00:00+05:30,800,814.8,784.05,793,353361
2021-09-29 00:00:00+05:30,778,812.1,778,806.45,153772
2021-09-30 00:00:00+05:30,807,813.4,795.75,797.6,93378
2021-10-01 00:00:00+05:30,789.3,798.3,782.7,787.2,112043
2021-10-04 00:00:00+05:30,800,826,800,819.6,401279
2021-10-05 00:00:00+05:30,812,832,806.1,808.1,257075
2021-10-06 00:00:00+05:30,809.95,827,801.75,807.9,198831
2021-10-07 00:00:00+05:30,818,824,811,813.25,134694
2021-10-08 00:00:00+05:30,815,818.75,798.4,802.8,116836
2021-10-11 00:00:00+05:30,805,808,787,790.05,173453
2021-10-12 00:00:00+05:30,790,799,778,789.5,148994
2021-10-13 00:00:00+05:30,790,794,778,779.45,204170
2021-10-14 00:00:00+05:30,782,798.75,774,782.25,165034
2021-10-18 00:00:00+05:30,788,794,773.3,775.05,236600
2021-10-19 00:00:00+05:30,779.95,781.5,760.25,763.95,140031
