
20 Microns
21st Cent. Mgmt
3i Infotech
3M India
3P Land Hold
5Paisa Capital
63 Moons Tech
Aakash Explor
Aarey Drugs
Aaron Industries
Aarti Drugs
Aarti Industries
Aarti Surfactant
Aarvee Denims
Aarvi Encon
AAVAS Financiers
A B B
Abbott India
Aditya Birla Cap
Aditya Bir. Fas
A B M Internatl
Aditya AMC
ACC
Accelya Solution
Accuracy Shippi
Action Const.Eq
Acrysil
Adani Enterp
Adani Green
Adani Ports
Adani Power
ADF Foods
Ador Welding
Allied Digital
Advani Hotels
Advanced Enzyme
Aegis Logistics
Affle India
Agarwal Indl
Agro Phos India
Ahlada Engineers
Asian Hotels (E)
Ahluwalia Contr
AIA Engineering
Airan
Airo Lam
Ajanta Pharma
Ajmera Realty
Ajooni Biotech
AJR Infra &
AKG Exim
AksharChem (I)
Aksh Optifibre
Akzo Nobel
Alankit
Albert David
Alembic
Alicon Cast
Alkali Metals
Alkem Lab
Alkyl Amines
Allcargo Logist
Allsec Tech
Almondz Global
Alok Industries
Alpa Laboratorie
Alphageo (India)
Amara Raja Batt
Amber Enterp
Ambica Agarbat
Ambika Cotton
Ambuja Cements
AMD Industries
Ami Organics
AMJ Land Holdin
Amrutanjan Healt
Anand Rathi Wea
Anant Raj
Andhra Cements
Andhra Paper
Andhra Sugars
Andrew Yule & Co
Angel One
Anik Industries
Anmol India
The Anup Enginee
Anupam Rasayan
Apar Inds
Anjani Portland
Apcotex Industri
Apex Frozen Food
APL Apollo Tubes
Alembic Pharma
Apollo Micro Sys
Apollo Hospitals
Apollo Pipes
Apollo Tyres
Apollo Sindoori
Aptech
Aptus Value Hou
Archidply Inds
Archies
Rajdarshan Inds
Aries Agro
Arihant Capital
Arihant Super
Arman Financial
Aro Granite Inds
Arrow Greentech
Arshiya
ARSS Infra
Artemis Medicare
Arvee Laborat
Arvind Ltd
Arvind Fashions
Asahi India Glas
Asahi Songwon
Assoc.Alcohols
Ashapura Minech
Ashiana Housing
Ashima
Ashoka Buildcon
Ashok Leyland
Asian Energy
Asian Hotels (N)
Asian Paints
Asian Granito
Aspinwall & Co
Astec Lifescienc
Aster DM Health
Astral
Astra Microwave
Astrazeneca Phar
Astron Paper
Agro Tech Foods
Atul Auto
Atul
AU Small Finance
Aurionpro Sol
Aurobindo Pharma
Aurum Proptech
Ausom Enter
Automotive Axles
Autoline Industr
Avadh Sugar
Avanti Feeds
AVT Natural Prod
Antony Waste han
Axis Bank
AXISCADES Tech
AYM Syntex
Bafna Pharma
Bajaj Auto
Bajaj Consumer
Bajaj Electrical
Bajaj Finserv
Bajaj Healthcare
Bajaj Hindusthan
Bajaj Holdings
Bajaj Finance
Balaji Telefilms
Balaji Amines
Balaxi Pharma
Balkrishna Paper
Balkrishna Inds
Balmer Lawrie
Bal Pharma
Balrampur Chini
Banaras Beads
Bannari Amm.Sug
Banco Products
Bandhan Bank
Bang Overseas
Banka Bioloo
Bank of Baroda
Bank of India
Banswara Syntex
Barbeque-Nation
BASF India
Bannari Amm Spg
Bata India
Bayer Crop Sci
Bharat Bijlee
Bombay Burmah
BCL Industries
B.C. Power
Bharat Dynamics
Beardsell
Mrs Bectors
Bedmutha Indus
Bharat Electron
BEML Ltd
Bhansali Engg
Berger Paints
Best Agrolife
BF Investment
BF Utilities
BGR Energy Sys
Bhagiradha Chem
Bhageria Indust
Bhagyanagar Ind
Bhagya. Prop
Bhandari Hosiery
Bharat Forge
Bharat Gears
Bharat Rasayan
Bharat Wire
Bharti Airtel
B H E L
BIGBLOC Const
Bhartiya Intl
Oswal Green Tech
Biocon
Biofil Chemicals
Birla Cable
Birla Corpn
Adit.Birla Money
Birla Tyres
BLB
Bliss GVS Pharma
B.L.Kashyap
Blue Dart Expres
Blue Star
Bodal Chemicals
Bombay Dyeing
Borosil
Borosil Renew
Bosch
B P C L
Brigade Enterpr
Britannia Inds
Bharat Road
Brooks Lab
BSE
Bombay Super Hyb
BSL
Birlasoft Ltd
Burger King
Burnpur Cement
The Byke Hospi
Cadila Health
Camlin Fine
Cams Services
Canara Bank
Can Fin Homes
Capacit'e Infra
Caplin Point Lab
Capital Trust
Carborundum Uni
Career Point
CARE Ratings
Cartrade Tech
Castrol India
Country Club Hos
CCL Products
C D S L
